ID1,ID2,Name,Description,Type,Values,Codes,Required?,Example,Notes
1,1.1.1,readiness_assessment,"completion of the application
rationalization readiness assessment",integer,"true
false","0
1",yes,1,
2,1.2.1,identify_requirements,identification of applications performing core mission services and applications providing support or other supplementary functions,integer,"true
false","0
1",yes,1,1 indicates that agency has developed a Requirements Landscape
3,1.3.1,questionnaire,"creation of agency-specific list of questions that captures all relevant financial, business, and technical information and reporting requirements for each application",integer,"true
false","0
1",yes,1,Questionnaire provides the foundation for Application Rationalization
4,2.1.1,questionnaires_sent,number of in-scope program offices that received the same questionnaire,integer,0-100,0-100,yes,4,
5,2.2.1,CPIC_report,determination of inventory discrepancy between questionnaire responses and CPIC report(s),integer,"true
false","0
1",yes,1,1 indicates a disparity between questionnaire responses and information from existing inventory sources
6,2.2.2,financial_reporting_tools,determination of inventory discrepancy between questionnaire responses and inventory as ascertained via financial reporting tools,integer,"true
false","0
1",yes,1,1 indicates a disparity between questionnaire responses and information from existing inventory sources
7,2.2.3,authorization_to_operate_lists_and_management_tools,determination of inventory discrepancy between questionnaire responses and inventory as ascertained via authorization to operate lists and management tools,integer,"true
false","0
1",yes,1,1 indicates a disparity between questionnaire responses and information from existing inventory sources
8,2.2.4,cybersecurity_assessment_and_management_tools,determination of inventory discrepancy between questionnaire responses and inventory as ascertained via cybersecurity assessment and management tools,integer,"true
false","0
1",yes,1,1 indicates a disparity between questionnaire responses and information from existing inventory sources
9,2.2.5,SLO_tools_and_inventories,determination of inventory discrepancy between questionnaire responses and inventory as ascertained via SLO tools,integer,"true
false","0
1",yes,1,1 indicates a disparity between questionnaire responses and information from existing inventory sources
10,2.2.6,CMDB_tools,determination of inventory discrepancy between questionnaire responses and inventory as ascertained via CDDB tools,integer,"true
false","0
1",yes,1,1 indicates a disparity between questionnaire responses and information from existing inventory sources
11,2.2.7,CDM_tools,determination of inventory discrepancy between questionnaire responses and inventory as ascertained via CDM tools,integer,"true
false","0
1",yes,1,1 indicates a disparity between questionnaire responses and information from existing inventory sources
12,2.2.8,COOP_and_DR_plans,determination of inventory discrepancy between questionnaire responses and inventory as ascertained via COOP and DR plans,integer,"true
false","0
1",yes,1,1 indicates a disparity between questionnaire responses and information from existing inventory sources
13,2.2.9,DCIM_tools,determination of inventory discrepancy between questionnaire responses and inventory as ascertained via DCIM,integer,"true
false","0
1",yes,1,1 indicates a disparity between questionnaire responses and information from existing inventory sources
14,2.2.10,data_management_systems,determination of inventory discrepancy between questionnaire responses and inventory as ascertained via data management systems,integer,"true
false","0
1",yes,1,1 indicates a disparity between questionnaire responses and information from existing inventory sources
15,2.2.11,hardware_tracking_systems,determination of inventory discrepancy between questionnaire responses and inventory as ascertained via hardware tracking systems,integer,"true
false","0
1",yes,1,1 indicates a disparity between questionnaire responses and information from existing inventory sources
16,2.2.12,licenses_SLAs,determination of inventory discrepancy between questionnaire responses and inventory as ascertained via licenses and SLAs,integer,"true
false","0
1",yes,1,1 indicates a disparity between questionnaire responses and information from existing inventory sources
17,2.2.13,security_operations_tools,determination of inventory discrepancy between questionnaire responses and inventory as ascertained via security operations tools,integer,"true
false","0
1",yes,1,1 indicates a disparity between questionnaire responses and information from existing inventory sources
18,2.2.14,SAM_tools,determination of inventory discrepancy between questionnaire responses and inventory as ascertained via security and operations tools,integer,"true
false","0
1",yes,1,1 indicates a disparity between questionnaire responses and information from existing inventory sources
19,2.2.15,virtualization_management_system,determination of inventory discrepancy between questionnaire responses and inventory as ascertained via virtualization management systems,integer,"true
false","0
1",yes,1,1 indicates a disparity between questionnaire responses and information from existing inventory sources
20,2.3.1,application_onboarding,"creation of a new application onboarding process, wherein the relevant information captured in the questionnaire is reported for all new applications purchased from vendors or developed by or for the agency",integer,"true
false","0
1",yes,1,1 confirms creation of application onboarding process
21,3.1.1,effectiveness,the degree to which an application is a solution for the goal agencies are trying to achieve,integer,"very low effectiveness
low effectiveness
moderate effectiveness
high effectiveness
very high effectiveness","1
2
3
4
5",yes,5,Likert scale
22,3.1.2,mission_criticality,the degree to which an application is critical in supporting and executing the agencies’ mission,integer,"very low mission criticality
low mission criticality
moderate mission criticality
high mission criticality
very high mission criticality","1
2
3
4
5",yes,2,Likert scale
23,3.1.3,utilization,the degree to which an application is used,integer,"very low usage
low usage
moderate usage
strong usage
high usage","1
2
3
4
5",yes,4,Likert scale
24,3.1.4,complexity,"the degree of customization, unique features, and functions enabled by an
application",integer,"very low complexity
low complexity
moderate complexity
high complexity
very high complexity","1
2
3
4
5",yes,3,Likert scale
25,3.1.5,usability,the degree of ease for the user to operate or learn how to use an application,integer,"very low usability
low usability
moderate usability
high usability
very high usability","1
2
3
4
5",yes,4,Likert scale
26,3.1.6,technical_requirements_bandwidth,"the level of bandwidth required for an application to run, in megabits per second (mbps)",integer,0-1000,0-1000,yes,500,rounded to nearest whole number
27,3.1.7,technical_requirements_data,"the level of data required for an application to run, in petabytes (PB)",floating-point,0.00-1000.00,0.00-1000.00,yes,10.00,in petabytes
28,3.1.8,version_control,number of official application updates within a given year,integer,1-100,1-100,yes,1,rounded to whole number
29,3.1.9,dependencies_upstream_exist,"determination of the presence of code, databases, and functionality on which the application depends",integer,"true
false","0
1",yes,2,
